Date,Units,NAV,Amount,fundcode,fundname
22-04-2024,4.125,242.43,1000.0,120841,quant Mid Cap Fund
22-04-2024,4.125,242.43,1000.0,120841,quant Mid Cap Fund
22-04-2024,4.125,242.43,1000.0,120841,quant Mid Cap Fund
23-04-2024,4.088,244.59,1000.0,120841,quant Mid Cap Fund
23-04-2024,4.088,244.59,1000.0,120841,quant Mid Cap Fund
23-04-2024,4.088,244.59,1000.0,120841,quant Mid Cap Fund
23-04-2024,4.088,244.59,1000.0,120841,quant Mid Cap Fund
04-06-2024,4.063,246.11,1000.0,120841,quant Mid Cap Fund
06-06-2024,3.837,260.59,1000.0,120841,quant Mid Cap Fund
11-06-2024,3.746,266.91,1000.0,120841,quant Mid Cap Fund
11-06-2024,3.746,266.91,1000.0,120841,quant Mid Cap Fund
12-06-2024,3.702,270.14,1000.0,120841,quant Mid Cap Fund
14-06-2024,3.666,272.8,1000.0,120841,quant Mid Cap Fund
19-06-2024,3.689,271.09,1000.0,120841,quant Mid Cap Fund
19-06-2024,3.689,271.09,1000.0,120841,quant Mid Cap Fund
20-06-2024,3.662,273.07,1000.0,120841,quant Mid Cap Fund
24-06-2024,3.706,269.84,1000.0,120841,quant Mid Cap Fund
04-07-2024,3.613,276.76,1000.0,120841,quant Mid Cap Fund
08-07-2024,3.601,277.7,1000.0,120841,quant Mid Cap Fund
08-07-2024,3.601,277.7,1000.0,120841,quant Mid Cap Fund
10-07-2024,3.6,277.75,1000.0,120841,quant Mid Cap Fund
12-07-2024,3.593,278.28,1000.0,120841,quant Mid Cap Fund
15-07-2024,3.557,281.11,1000.0,120841,quant Mid Cap Fund
18-07-2024,3.595,278.16,1000.0,120841,quant Mid Cap Fund
18-07-2024,3.595,278.16,1000.0,120841,quant Mid Cap Fund
22-07-2024,3.66,273.18,1000.0,120841,quant Mid Cap Fund
22-07-2024,3.66,273.18,1000.0,120841,quant Mid Cap Fund
05-08-2024,3.766,265.5,1000.0,120841,quant Mid Cap Fund
06-08-2024,3.797,263.32,1000.0,120841,quant Mid Cap Fund
08-08-2024,3.709,269.63,1000.0,120841,quant Mid Cap Fund
13-08-2024,3.75,266.64,1000.0,120841,quant Mid Cap Fund
13-08-2024,3.75,266.64,1000.0,120841,quant Mid Cap Fund
14-08-2024,3.775,264.92,1000.0,120841,quant Mid Cap Fund
16-08-2024,3.73,268.11,1000.0,120841,quant Mid Cap Fund
19-08-2024,3.693,270.75,1000.0,120841,quant Mid Cap Fund
20-08-2024,3.674,272.18,1000.0,120841,quant Mid Cap Fund
22-08-2024,3.647,274.19,1000.0,120841,quant Mid Cap Fund
04-09-2024,3.685,271.39,1000.0,120841,quant Mid Cap Fund
06-09-2024,3.71,269.51,1000.0,120841,quant Mid Cap Fund
09-09-2024,3.721,268.76,1000.0,120841,quant Mid Cap Fund
10-09-2024,3.696,270.53,1000.0,120841,quant Mid Cap Fund
12-09-2024,3.683,271.53,1000.0,120841,quant Mid Cap Fund
16-09-2024,3.657,273.44,1000.0,120841,quant Mid Cap Fund
16-09-2024,3.657,273.44,1000.0,120841,quant Mid Cap Fund
18-09-2024,3.692,270.86,1000.0,120841,quant Mid Cap Fund
20-09-2024,3.697,270.51,1000.0,120841,quant Mid Cap Fund
23-09-2024,3.676,272.04,1000.0,120841,quant Mid Cap Fund
04-10-2024,3.731,268.03,1000.0,120841,quant Mid Cap Fund
07-10-2024,3.816,262.03,1000.0,120841,quant Mid Cap Fund
08-10-2024,3.75,266.62,1000.0,120841,quant Mid Cap Fund
10-10-2024,3.766,265.5,1000.0,120841,quant Mid Cap Fund
14-10-2024,3.746,266.95,1000.0,120841,quant Mid Cap Fund
14-10-2024,3.746,266.95,1000.0,120841,quant Mid Cap Fund
16-10-2024,3.766,265.54,1000.0,120841,quant Mid Cap Fund
18-10-2024,3.798,263.28,1000.0,120841,quant Mid Cap Fund
22-10-2024,3.921,255.0,1000.0,120841,quant Mid Cap Fund
22-10-2024,3.921,255.0,1000.0,120841,quant Mid Cap Fund
11-11-2024,4.032,248.01,1000.0,120841,quant Mid Cap Fund
12-11-2024,4.083,244.9,1000.0,120841,quant Mid Cap Fund
19-11-2024,4.166,240.01,1000.0,120841,quant Mid Cap Fund
21-11-2024,4.225,236.69,1000.0,120841,quant Mid Cap Fund
22-11-2024,4.156,240.63,1000.0,120841,quant Mid Cap Fund
04-12-2024,39.583,252.62,10000.0,120841,quant Mid Cap Fund
06-01-2025,40.797,245.1,10000.0,120841,quant Mid Cap Fund
30-01-2025,42.729,234.02,10000.0,120841,quant Mid Cap Fund
03-03-2025,47.919,208.67,10000.0,120841,quant Mid Cap Fund
02-04-2025,43.577,229.47,10000.0,120841,quant Mid Cap Fund
02-05-2025,42.592,234.77,10000.0,120841,quant Mid Cap Fund
02-06-2025,41.153,242.98,10000.0,120841,quant Mid Cap Fund
18-07-2025,40.639,246.06,10000.0,120841,quant Mid Cap Fund
01-08-2025,42.455,235.53,10000.0,120841,quant Mid Cap Fund
02-02-2024,9670.26,15.51,150000.0,150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund
02-02-2024,3223.42,15.51,50000.0,150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund
09-02-2024,9625.58,15.58,150000.0,150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund
18-03-2024,3319.51,15.06,50000.0,150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund
18-03-2024,3319.51,15.06,50000.0,150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund
10-04-2024,3069.44,16.29,50000.0,150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund
08-05-2024,2967.55,16.85,50000.0,150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund
13-05-2024,596.373,16.77,10000.0,150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund
10-06-2024,2209.98,18.1,40000.0,150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund
07-10-2024,1053.66,18.98,20000.0,150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund
13-11-2024,1106.81,18.07,20000.0,150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund
03-03-2025,662.873,15.09,10000.0,150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund
23-04-2021,122.303,40.88,5000.0,122639,Parag Parikh Flexi Cap Fund
15-06-2021,111.683,44.77,5000.0,122639,Parag Parikh Flexi Cap Fund
16-07-2021,104.235,47.97,5000.0,122639,Parag Parikh Flexi Cap Fund
17-08-2021,102.207,48.92,5000.0,122639,Parag Parikh Flexi Cap Fund
15-09-2021,95.76,52.21,5000.0,122639,Parag Parikh Flexi Cap Fund
18-10-2021,90.676,55.14,5000.0,122639,Parag Parikh Flexi Cap Fund
15-11-2021,90.515,55.24,5000.0,122639,Parag Parikh Flexi Cap Fund
15-12-2021,91.822,54.45,5000.0,122639,Parag Parikh Flexi Cap Fund
17-01-2022,91.246,54.79,5000.0,122639,Parag Parikh Flexi Cap Fund
15-02-2022,96.503,51.81,5000.0,122639,Parag Parikh Flexi Cap Fund
15-03-2022,101.087,49.46,5000.0,122639,Parag Parikh Flexi Cap Fund
18-04-2022,96.769,51.67,5000.0,122639,Parag Parikh Flexi Cap Fund
17-05-2022,103.486,48.31,5000.0,122639,Parag Parikh Flexi Cap Fund
16-06-2022,108.563,46.05,5000.0,122639,Parag Parikh Flexi Cap Fund
15-07-2022,104.946,47.64,5000.0,122639,Parag Parikh Flexi Cap Fund
17-08-2022,94.852,52.71,5000.0,122639,Parag Parikh Flexi Cap Fund
16-09-2022,19.336,51.71,1000.0,122639,Parag Parikh Flexi Cap Fund
03-11-2022,38.975,51.31,2000.0,122639,Parag Parikh Flexi Cap Fund
05-01-2023,19.638,50.92,1000.0,122639,Parag Parikh Flexi Cap Fund
06-02-2023,93.835,53.28,5000.0,122639,Parag Parikh Flexi Cap Fund
06-03-2023,94.112,53.13,5000.0,122639,Parag Parikh Flexi Cap Fund
06-04-2023,92.908,53.81,5000.0,122639,Parag Parikh Flexi Cap Fund
08-05-2023,89.004,56.17,5000.0,122639,Parag Parikh Flexi Cap Fund
06-06-2023,85.443,58.52,5000.0,122639,Parag Parikh Flexi Cap Fund
06-07-2023,82.637,60.5,5000.0,122639,Parag Parikh Flexi Cap Fund
07-08-2023,81.495,61.35,5000.0,122639,Parag Parikh Flexi Cap Fund
06-09-2023,80.16,62.37,5000.0,122639,Parag Parikh Flexi Cap Fund
09-10-2023,79.872,62.6,5000.0,122639,Parag Parikh Flexi Cap Fund
07-11-2023,77.773,64.29,5000.0,122639,Parag Parikh Flexi Cap Fund
01-12-2023,74.424,67.18,5000.0,122639,Parag Parikh Flexi Cap Fund
06-12-2023,73.108,68.39,5000.0,122639,Parag Parikh Flexi Cap Fund
08-01-2024,71.078,70.34,5000.0,122639,Parag Parikh Flexi Cap Fund
10-01-2024,70.629,70.79,5000.0,122639,Parag Parikh Flexi Cap Fund
06-02-2024,67.489,74.08,5000.0,122639,Parag Parikh Flexi Cap Fund
12-02-2024,68.047,73.47,5000.0,122639,Parag Parikh Flexi Cap Fund
06-03-2024,66.375,75.33,5000.0,122639,Parag Parikh Flexi Cap Fund
12-03-2024,66.802,74.84,5000.0,122639,Parag Parikh Flexi Cap Fund
08-04-2024,65.161,76.73,5000.0,122639,Parag Parikh Flexi Cap Fund
10-04-2024,64.724,77.25,5000.0,122639,Parag Parikh Flexi Cap Fund
07-05-2024,64.714,77.26,5000.0,122639,Parag Parikh Flexi Cap Fund
10-05-2024,65.101,76.8,5000.0,122639,Parag Parikh Flexi Cap Fund
06-06-2024,63.436,78.82,5000.0,122639,Parag Parikh Flexi Cap Fund
11-06-2024,62.296,80.26,5000.0,122639,Parag Parikh Flexi Cap Fund
08-07-2024,59.536,83.98,5000.0,122639,Parag Parikh Flexi Cap Fund
10-07-2024,59.381,84.2,5000.0,122639,Parag Parikh Flexi Cap Fund
06-08-2024,60.835,82.19,5000.0,122639,Parag Parikh Flexi Cap Fund
13-08-2024,60.163,83.1,5000.0,122639,Parag Parikh Flexi Cap Fund
06-09-2024,58.724,85.14,5000.0,122639,Parag Parikh Flexi Cap Fund
10-09-2024,58.374,85.65,5000.0,122639,Parag Parikh Flexi Cap Fund
07-10-2024,58.153,85.98,5000.0,122639,Parag Parikh Flexi Cap Fund
10-10-2024,57.186,87.43,5000.0,122639,Parag Parikh Flexi Cap Fund
06-11-2024,57.412,87.08,5000.0,122639,Parag Parikh Flexi Cap Fund
11-11-2024,57.295,87.26,5000.0,122639,Parag Parikh Flexi Cap Fund
04-12-2024,113.817,87.86,10000.0,122639,Parag Parikh Flexi Cap Fund
06-01-2025,114.481,87.35,10000.0,122639,Parag Parikh Flexi Cap Fund
30-01-2025,115.662,86.45,10000.0,122639,Parag Parikh Flexi Cap Fund
03-03-2025,120.634,82.89,10000.0,122639,Parag Parikh Flexi Cap Fund
02-04-2025,117.481,85.12,10000.0,122639,Parag Parikh Flexi Cap Fund
02-05-2025,113.65,87.98,10000.0,122639,Parag Parikh Flexi Cap Fund
02-06-2025,111.127,89.98,10000.0,122639,Parag Parikh Flexi Cap Fund
09-07-2025,107.818,92.74,10000.0,122639,Parag Parikh Flexi Cap Fund
01-08-2025,109.487,91.33,10000.0,122639,Parag Parikh Flexi Cap Fund
06-11-2025,426.530177,93.78,40000.0,122639,Parag Parikh Flexi Cap Fund
11-12-2025,52.776,94.735,5000.0,122639,Parag Parikh Flexi Cap Fund
11-12-2025,211.11,94.735,20000.0,122639,Parag Parikh Flexi Cap Fund
04-04-2019,10720.94,33.58,360000.0,112090,Kotak Flexicap Fund
01-11-2025,95.37,104.85,10000.0,118632,Nippon India Large Cap Fund
05-11-2025,771.653,103.67,80000.0,118632,Nippon India Large Cap Fund
11-12-2025,286.631,104.659,30000.0,118632,Nippon India Large Cap Fund
24-03-2022,24.422,102.36,2500.0,118834,Mirae Asset Large & Midcap Fund
